Date,Price Volatility
2010-08-17,242.02674953591674
2010-08-18,176.56091542209313
2010-08-19,170.9898288753584
2010-08-20,166.3779651483621
2010-08-21,166.3779651483621
2010-08-22,131.30222192859634
2010-08-23,131.30222192859634
2010-08-24,112.61079019194138
2010-08-25,112.61079019194139
2010-08-26,94.19487054895082
2010-08-27,94.19487054895082
2010-08-28,94.19487054895082
2010-08-29,94.19487054895093
2010-08-30,94.19487054895093
2010-08-31,109.37621069778895
2010-09-01,109.37621069778895
2010-09-02,109.37621069778895
2010-09-03,109.37621069778895
2010-09-04,109.37621069778895
2010-09-05,109.37621069778895
2010-09-06,109.37621069778895
2010-09-07,109.37621069778895
2010-09-08,109.37621069778895
2010-09-09,94.19487054895095
2010-09-10,94.19487054895095
2010-09-11,94.19487054895095
2010-09-12,94.19487054895099
2010-09-13,94.19487054895099
2010-09-14,94.19487054895099
2010-09-15,94.19487054895099
2010-09-16,94.194870548951
2010-09-17,94.194870548951
2010-09-18,94.194870548951
2010-09-19,94.194870548951
2010-09-20,94.19487054895102
2010-09-21,94.19487054895102
2010-09-22,94.19487054895102
2010-09-23,94.19487054895102
2010-09-24,94.19487054895103
2010-09-25,94.19487054895103
2010-09-26,94.19487054895103
2010-09-27,94.19487054895103
2010-09-28,77.34066028489518
2010-09-29,77.34066028489518
2010-09-30,53.76891206292032
2010-10-01,0
2010-10-02,0
2010-10-03,0
2010-10-04,0
2010-10-05,0
2010-10-06,0
2010-10-07,0
2010-10-08,53.768912062920265
2010-10-09,101.24411897881758
2010-10-10,101.24411897881758
2010-10-11,106.03074240823793
2010-10-12,106.03074240823793
2010-10-13,114.21348680881579
2010-10-14,131.38251388009522
2010-10-15,137.30015690660724
2010-10-16,139.81428635290334
2010-10-17,145.3891426534224
2010-10-18,145.38914265342237
2010-10-19,145.38914265342237
2010-10-20,145.38914265342237
2010-10-21,145.38914265342237
2010-10-22,147.76570773792506
2010-10-23,147.76570773792506
2010-10-24,147.76570773792506
2010-10-25,149.37638116619118
2010-10-26,155.90974683710448
2010-10-27,159.77452845320974
2010-10-28,166.45330772259237
2010-10-29,169.07188029872393
2010-10-30,168.64922136442297
2010-10-31,168.1266221171783
2010-11-01,170.60142610640057
2010-11-02,170.0848252703456
2010-11-03,172.5315429486712
2010-11-04,172.5315429486712
2010-11-05,175.96627040789573
2010-11-06,177.64764349459136
2010-11-07,196.29823224032455
2010-11-08,182.8398121262964
2010-11-09,205.01570304880926
2010-11-10,214.04190396960473
2010-11-11,217.65626173832393
2010-11-12,212.6815885350449
2010-11-13,213.1030356951459
2010-11-14,208.25746143736703
2010-11-15,207.39609646655813
2010-11-16,203.86174190023002
2010-11-17,210.3071507033093
2010-11-18,210.07611357360355
2010-11-19,210.3827389517413
2010-11-20,210.04456505150816
2010-11-21,209.19055880442292
2010-11-22,209.19055880442292
2010-11-23,209.19055880442295
2010-11-24,208.46621392734443
2010-11-25,203.62616835932107
2010-11-26,199.80299386496662
2010-11-27,192.06055644320878
2010-11-28,190.60731452072847
2010-11-29,190.13521800613603
