Date,Hash Rate
2009-01-10,0.00001305020447805537
2009-01-11,0.0000019884107851851855
2009-01-12,0.0000028666255486419753
2009-01-13,0.000003318160497777778
2009-01-14,0.000003877401031111112
2009-01-15,0.000004299938322962964
2009-01-16,0.000004580446273015874
2009-01-17,0.000005212476844021164
2009-01-18,0.0000055533472643386245
2009-01-19,0.000005652767803597884
2009-01-20,0.0000058018986124867745
2009-01-21,0.000005737985408677249
2009-01-22,0.000005546245797248677
2009-01-23,0.000005297694449100529
2009-01-24,0.000005127259238941799
2009-01-25,0.0000057805942112169315
2009-01-26,0.0000063771174467724876
2009-01-27,0.000006242189572063492
2009-01-28,0.000006121464631534392
2009-01-29,0.000006192479302433861
2009-01-30,0.000006405523315132275
2009-01-31,0.000006639871729100528
2009-02-01,0.000006192479302433862
2009-02-02,0.00000563856486941799
2009-02-03,0.000005865811816296296
2009-02-04,0.000006164073434074074
2009-02-05,0.0000062137837037037035
2009-02-06,0.000006249291039153439
2009-02-07,0.000006284798374603174
2009-02-08,0.00000622088517079365
2009-02-09,0.0000063558130455026454
2009-02-10,0.000006398421848042328
2009-02-11,0.000006263493973333333
2009-02-12,0.0000063629145125925925
2009-02-13,0.000006313204242962962
2009-02-14,0.000006327407177142857
2009-02-15,0.000006377117446772487
2009-02-16,0.000006348711578412698
2009-02-17,0.000006263493973333333
2009-02-18,0.000006242189572063492
2009-02-19,0.000006135667565714285
2009-02-20,0.00000617117490116402
2009-02-21,0.000006156971966984127
2009-02-22,0.000006000739691005291
2009-02-23,0.000005951029421375661
2009-02-24,0.0000058516088821164025
2009-02-25,0.000005773492744126986
2009-02-26,0.000005681173671957672
2009-02-27,0.0000055604487314285716
2009-02-28,0.000005510738461798942
2009-03-01,0.000005404216455449737
2009-03-02,0.000005290592982010584
2009-03-03,0.000005290592982010582
2009-03-04,0.000005283491514920635
2009-03-05,0.000005276390047830688
2009-03-06,0.000005311897383280423
2009-03-07,0.000005326100317460317
2009-03-08,0.0000053971149883597875
2009-03-09,0.000005468129659259259
2009-03-10,0.000005468129659259259
2009-03-11,0.0000054823325934391535
2009-03-12,0.0000055533472643386245
2009-03-13,0.000005595956066878306
2009-03-14,0.000005567550198518518
2009-03-15,0.000005574651665608466
2009-03-16,0.0000056314634023280425
2009-03-17,0.000005723782474497355
2009-03-18,0.000005773492744126984
2009-03-19,0.000005773492744126984
2009-03-20,0.000005801898612486772
2009-03-21,0.0000058374059479365075
2009-03-22,0.0000054113179225396826
2009-03-23,0.000005382912054179894
2009-03-24,0.000005446825257989418
2009-03-25,0.000005382912054179893
2009-03-26,0.0000054042164554497355
2009-03-27,0.00000536870912
2009-03-28,0.000005283491514920635
2009-03-29,0.000005773492744126984
2009-03-30,0.000005752188342857143
2009-03-31,0.000005681173671957671
2009-04-01,0.000005716681007407407
2009-04-02,0.0000056953766061375655
2009-04-03,0.000005681173671957672
2009-04-04,0.000005752188342857143
2009-04-05,0.00000570957954031746
2009-04-06,0.000005809000079576719
2009-04-07,0.000005730883941587301
2009-04-08,0.000005659869270687831
2009-04-09,0.000005595956066878307
2009-04-10,0.0000054823325934391535
2009-04-11,0.000005425520856719577
2009-04-12,0.000005475231126349208
2009-04-13,0.000005390013521269841
2009-04-14,0.000005432622323809524
2009-04-15,0.000005603057533968253
2009-04-16,0.000005659869270687831
2009-04-17,0.000005830304480846561
2009-04-18,0.000005858710349206349
2009-04-19,0.000005901319151746031
2009-04-20,0.000005908420618835979
2009-04-21,0.000005936826487195767
2009-04-22,0.00000592972502010582
2009-04-23,0.0000059865367568253965
2009-04-24,0.000005645666336507937
2009-04-25,0.00000566697073777778
2009-04-26,0.000005610159001058201
2009-04-27,0.0000055604487314285716
2009-04-28,0.000005453926725079365
